USECASE,OPEN SOURCE,,,,,CLOSED SOURCE,
,Prompting,,Generative Deep Learning,,,Prompting,
Text Classification,Mixtral,Llama3.2,BERT,RoBERTa,LSTM,Google Gemini,GPT-4
Text Generation,Mistral,Llama3.2,Llama 2 instruct,Mixtral,Google Flan xxl,Groq-Models,GPT-4
Text Summarization,Llama 3.2,Mistral,BART,Seq2Seq Models,Using Langchain (Ollama),Google Gemini,Using Langchain (OpenAI)
Text Translation,Mistral,Cohere Aya,Transformer,Google T5 Models,Helsinki-NLP Opus Models,Google Translator,GPT-4
Image Classification,Google PaliGemma,Llama 3.2 vision,Swin Transformer,Keras CNN,PyTorch CNN,Google Gemini,OpenAI GPT 4o
Image Similarity,ImageNet (DenseNet),ImageNet (VGG16),Vision Transformers,DenseNet (Custom Data),Siamese Network,Amazon Rekognition,Microsoft Computer Vision API
Image Object Detection,Google OWL-VIT,Yolov8,Yolov8,VGG16,ResNet,Google Cloud Vision API, Microsoft Computer Vision API
Text2Image Generation,Stable Diffusion,SDXL-Turbo,Stable Diffusion,ControlNet,Flux.1 dev,Google Imagen,OpenAI Dalle
Image2Text Generation,Microsoft Florence,Pixtral,Llava,Google PaliGemma,Llama 3.2 vision,Google Gemini,OpenAI GPT 4o
Text2Speech Generation,Parler TTS,ResponsiveVoice.js,Coqui TTS ,Fish Speech V1.4,Silero TTS,ElevenLabs,Play.ht
Speech2Text Generation,Web Speech API,OpenAI-Whisper,WhisperX,Faster-Whisper,WhisperJAX,Google Gemini,Assembly AI
Image Captioning,Microsoft Florence,Llama 3.2 vision,Llava,Google PaliGemma,InternVLM,Google Gemini,GPT-4
Named Entity Recognition (NER),Llama 3.2,GLiNER,NER-BERT,SpaCy,Distilbert-base-uncased,Google Gemini,GPT-4
Image Segmentation,Microsoft Florence,Yolov8,Yolov9,Facebook Mask2former,SAM (Segment Anything Model),Vertex AI Image Segmentation,GPT-4
Question Answering,Intel-NeuralChat,LLama2-Chat-Model,RAG,Fine Tuning Using QLoRa,Distilbert-base-uncased,Google Gemini,GPT-4o
LLM Based Web Scrapping,LangChain WebScraping,Puppeteer (JS),Jina AI Web Scraping,ZyteAI,LLM-Scrapper (JS),ScrapeGraphAI (Google),ScrapeGraphAI (OpenAI)
LLM Evaluation Metrics,LM-Evaluation-Harness,Perplexity (LM-PPL),RAGAS,ROUGE SCORE,BERT SCORE,Arize AI Phonenix (Google),Arize AI Phonenix (OpenAI)